TS,DATE_TIME,EQP_ID,OP,STATUS,RT,LOGFILE,ATTR
81,2024-08-07 14:51:42,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4807145141.r.zip,
80,2024-08-07 14:34:54,POPRIG01,COMET,START,,,
79,2024-08-07 14:34:15,POPRIG01,GEMUSR,PASS,,,
78,2024-08-02 16:44:03,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4802164401.r.zip,
77,2024-08-02 16:21:05,POPRIG01,COMET,START,,,
76,2024-08-02 15:53:40,POPRIG01,GEMUSR,PASS,,,
75,2024-08-02 15:53:02,POPRIG01,GEMUSR,PASS,,,
74,2024-07-25 11:27:23,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4725112722.r.zip,
73,2024-07-25 11:16:45,POPRIG01,COMET,START,,,
72,2024-07-25 11:16:26,POPRIG01,GEMUSR,PASS,,,
71,2024-07-25 10:50:05,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4725105004.r.zip,
70,2024-07-25 10:32:31,POPRIG01,COMET,START,,,
69,2024-07-25 10:32:04,POPRIG01,GEMUSR,PASS,,,
68,2024-07-24 15:54:22,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4724155422.r.zip,
67,2024-07-24 15:45:21,POPRIG01,COMET,START,,,
66,2024-07-24 15:45:02,POPRIG01,GEMUSR,PASS,,,
65,2024-07-24 15:29:12,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4724152912.r.zip,
64,2024-07-24 15:12:44,POPRIG01,COMET,START,,,
63,2024-07-24 15:12:26,POPRIG01,GEMUSR,PASS,,,
62,2024-07-24 11:22:14,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4724112213.r.zip,
61,2024-07-24 11:11:50,POPRIG01,COMET,START,,,
60,2024-07-24 11:11:29,POPRIG01,GEMUSR,PASS,,,
59,2024-07-24 10:36:09,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4724103608.r.zip,
58,2024-07-24 10:26:28,POPRIG01,COMET,START,,,
57,2024-07-24 10:26:07,POPRIG01,GEMUSR,PASS,,,
56,2024-07-24 10:06:14,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4724100613.r.zip,
55,2024-07-24 09:48:45,POPRIG01,COMET,START,,,
54,2024-07-24 09:48:26,POPRIG01,GEMUSR,PASS,,,
53,2024-07-18 22:51:15,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4718225114.r.zip,
52,2024-07-18 22:41:50,POPRIG01,COMET,START,,,
51,2024-07-18 22:41:30,POPRIG01,GEMUSR,PASS,,,
50,2024-07-18 22:22:42,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4718222241.r.zip,
49,2024-07-18 22:05:23,POPRIG01,COMET,START,,,
48,2024-07-18 22:04:59,POPRIG01,GEMUSR,PASS,,,
47,2024-07-18 17:18:31,POPRIG01,COMET,PASS,,teppinasv001.seagate.com/prod/none/merlin/history/COMET/20B04D062F.4718171830.r.zip,
46,2024-07-18 16:59:21,POPRIG01,COMET,START,,,
45,2024-07-18 16:58:59,POPRIG01,GEMUSR,PASS,,,
